Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Dwight Howard (12001502),Dwight Howard,12001502,C/UTIL,5500,WAS@ORL 01/25/2019 07:00PM ET,WAS,27.03
PG/SG,Tomas Satoransky (12001513),Tomas Satoransky,12001513,PG/SG/G/UTIL,5500,WAS@ORL 01/25/2019 07:00PM ET,WAS,18.89
PG/SG,Caris LeVert (12001443),Caris LeVert,12001443,PG/SG/G/UTIL,5500,NY@BKN 01/25/2019 07:30PM ET,BKN,32.04
PF/C,Thomas Bryant (12001523),Thomas Bryant,12001523,PF/C/F/UTIL,5400,WAS@ORL 01/25/2019 07:00PM ET,WAS,20.04
PF/C,Jaren Jackson Jr. (12001527),Jaren Jackson Jr.,12001527,PF/C/F/UTIL,5400,SAC@MEM 01/25/2019 08:00PM ET,MEM,25.48
PG,Emmanuel Mudiay (12001548),Emmanuel Mudiay,12001548,PG/G/UTIL,5300,NY@BKN 01/25/2019 07:30PM ET,NY,26.13
PF/C,Marvin Bagley III (12001519),Marvin Bagley III,12001519,PF/C/F/UTIL,5300,SAC@MEM 01/25/2019 08:00PM ET,SAC,24.53
SG/SF,Eric Gordon (12001508),Eric Gordon,12001508,SG/SF/F/G/UTIL,5300,TOR@HOU 01/25/2019 08:00PM ET,HOU,24.97
PF/C,Kenneth Faried (12001539),Kenneth Faried,12001539,PF/C/F/UTIL,5300,TOR@HOU 01/25/2019 08:00PM ET,HOU,13.21
SG/SF,Jeremy Lamb (12001543),Jeremy Lamb,12001543,SG/SF/F/G/UTIL,5200,CHA@MIL 01/25/2019 08:30PM ET,CHA,27.94
SF/PF,Kevin Knox (12001555),Kevin Knox,12001555,SF/PF/F/UTIL,5200,NY@BKN 01/25/2019 07:30PM ET,NY,21.06
SF/PF,JaMychal Green (12001559),JaMychal Green,12001559,SF/PF/F/UTIL,5200,SAC@MEM 01/25/2019 08:00PM ET,MEM,23.14
PF/C,Paul Millsap (12001535),Paul Millsap,12001535,PF/C/F/UTIL,5100,PHO@DEN 01/25/2019 09:00PM ET,DEN,27.79
SG/SF,Terrence Ross (12001563),Terrence Ross,12001563,SG/SF/F/G/UTIL,5100,WAS@ORL 01/25/2019 07:00PM ET,ORL,23.3
PG,D.J. Augustin (12001568),D.J. Augustin,12001568,PG/G/UTIL,5100,WAS@ORL 01/25/2019 07:00PM ET,ORL,22.87
SF/PF,Harrison Barnes (12001551),Harrison Barnes,12001551,SF/PF/F/UTIL,5100,DET@DAL 01/25/2019 08:30PM ET,DAL,27.31
PG,Collin Sexton (12001586),Collin Sexton,12001586,PG/G/UTIL,5000,MIA@CLE 01/25/2019 07:30PM ET,CLE,23.1
SG,Gary Harris (12001593),Gary Harris,12001593,SG/G/UTIL,5000,PHO@DEN 01/25/2019 09:00PM ET,DEN,26.22
PF/C,Derrick Favors (12001582),Derrick Favors,12001582,PF/C/F/UTIL,5000,MIN@UTA 01/25/2019 09:00PM ET,UTA,25.15
